1024,80,54
1024,88,59
1024,96,41
1024,104,34
1024,112,31
1024,120,27
1024,128,28
1024,136,25
1024,144,23
1024,152,17
1024,160,16
1024,168,16
1024,176,18
1024,184,15
1024,192,16
1040,80,53
1040,88,63
1040,96,55
1040,104,39
1040,112,31
1040,120,26
1040,128,22
1040,136,19
1040,144,20
1040,152,19
1040,160,23
1040,168,23
1040,176,17
1040,184,21
1040,192,16
1056,80,42
1056,88,52
1056,96,48
1056,104,48
1056,112,30
1056,120,24
1056,128,23
1056,136,25
1056,144,27
1056,152,22
1056,160,22
1056,168,13
1056,176,18
1056,184,15
1056,192,14
1072,80,49
1072,88,55
1072,96,46
1072,104,31
1072,112,36
1072,120,30
1072,128,23
1072,136,24
1072,144,22
1072,152,18
1072,160,18
1072,168,17
1072,176,18
1072,184,14
1072,192,18
1088,80,36
1088,88,58
1088,96,51
1088,104,60
1088,112,45
1088,120,39
1088,128,26
1088,136,22
1088,144,18
1088,152,16
1088,160,19
1088,168,25
1088,176,27
1088,184,20
1088,192,14
1104,80,54
1104,88,61
1104,96,54
1104,104,48
1104,112,47
1104,120,34
1104,128,24
1104,136,31
1104,144,26
1104,152,25
1104,160,17
1104,168,17
1104,176,19
1104,184,14
1104,192,15
1120,80,52
1120,88,65
1120,96,48
1120,104,40
1120,112,36
1120,120,29
1120,128,25
1120,136,29
1120,144,28
1120,152,27
1120,160,20
1120,168,15
1120,176,17
1120,184,17
1120,192,16
1136,80,45
1136,88,53
1136,96,47
1136,104,35
1136,112,23
1136,120,22
1136,128,28
1136,136,19
1136,144,18
1136,152,20
1136,160,18
1136,168,21
1136,176,21
1136,184,18
1136,192,16
1152,80,53
1152,88,53
1152,96,55
1152,104,52
1152,112,30
1152,120,24
1152,128,22
1152,136,19
1152,144,18
1152,152,20
1152,160,21
1152,168,18
1152,176,18
1152,184,15
1152,192,16
1168,80,55
1168,88,52
1168,96,49
1168,104,52
1168,112,43
1168,120,27
1168,128,27
1168,136,21
1168,144,27
1168,152,24
1168,160,25
1168,168,19
1168,176,18
1168,184,16
1168,192,18
1184,80,57
1184,88,46
1184,96,49
1184,104,46
1184,112,43
1184,120,32
1184,128,26
1184,136,19
1184,144,26
1184,152,30
1184,160,35
1184,168,26
1184,176,23
1184,184,17
1184,192,18
1200,80,54
1200,88,56
1200,96,50
1200,104,46
1200,112,30
1200,120,36
1200,128,25
1200,136,24
1200,144,28
1200,152,19
1200,160,22
1200,168,18
1200,176,21
1200,184,16
1200,192,15
1216,80,42
1216,88,52
1216,96,50
1216,104,43
1216,112,28
1216,120,25
1216,128,23
1216,136,24
1216,144,22
1216,152,19
1216,160,21
1216,168,21
1216,176,19
1216,184,17
1216,192,20
1232,80,59
1232,88,58
1232,96,52
1232,104,37
1232,112,42
1232,120,30
1232,128,23
1232,136,28
1232,144,20
1232,152,25
1232,160,27
1232,168,21
1232,176,19
1232,184,19
1232,192,16
1248,80,56
1248,88,57
1248,96,76
1248,104,51
1248,112,41
1248,120,31
1248,128,36
1248,136,33
1248,144,24
1248,152,18
1248,160,23
1248,168,18
1248,176,19
1248,184,17
1248,192,18
1264,80,54
1264,88,56
1264,96,32
1264,104,31
1264,112,27
1264,120,28
1264,128,34
1264,136,32
1264,144,25
1264,152,31
1264,160,25
1264,168,18
1264,176,16
1264,184,18
1264,192,16
1280,80,57
1280,88,56
1280,96,48
1280,104,42
1280,112,46
1280,120,41
1280,128,35
1280,136,30
1280,144,24
1280,152,30
1280,160,22
1280,168,26
1280,176,18
1280,184,19
1280,192,21
1296,80,64
1296,88,55
1296,96,54
1296,104,49
1296,112,39
1296,120,30
1296,128,27
1296,136,23
1296,144,28
1296,152,36
1296,160,30
1296,168,20
1296,176,20
1296,184,21
1296,192,18
1312,80,57
1312,88,60
1312,96,42
1312,104,42
1312,112,46
1312,120,28
1312,128,31
1312,136,23
1312,144,26
1312,152,33
1312,160,30
1312,168,24
1312,176,22
1312,184,20
1312,192,17
1328,80,53
1328,88,52
1328,96,48
1328,104,57
1328,112,49
1328,120,51
1328,128,35
1328,136,37
1328,144,24
1328,152,19
1328,160,21
1328,168,21
1328,176,19
1328,184,21
1328,192,20
1344,80,68
1344,88,57
1344,96,61
1344,104,71
1344,112,46
1344,120,50
1344,128,48
1344,136,41
1344,144,27
1344,152,24
1344,160,20
1344,168,19
1344,176,22
1344,184,19
1344,192,21
1360,80,62
1360,88,61
1360,96,50
1360,104,40
1360,112,35
1360,120,42
1360,128,37
1360,136,31
1360,144,23
1360,152,23
1360,160,25
1360,168,24
1360,176,18
1360,184,22
1360,192,22
1376,80,73
1376,88,60
1376,96,39
1376,104,46
1376,112,34
1376,120,29
1376,128,38
1376,136,30
1376,144,24
1376,152,25
1376,160,24
1376,168,25
1376,176,27
1376,184,24
1376,192,17
1392,80,72
1392,88,46
1392,96,45
1392,104,33
1392,112,38
1392,120,38
1392,128,39
1392,136,24
1392,144,24
1392,152,30
1392,160,23
1392,168,28
1392,176,18
1392,184,21
1392,192,16
1408,80,56
1408,88,71
1408,96,79
1408,104,59
1408,112,42
1408,120,27
1408,128,29
1408,136,31
1408,144,23
1408,152,22
1408,160,25
1408,168,20
1408,176,18
1408,184,23
1408,192,21
1424,80,64
1424,88,60
1424,96,65
1424,104,62
1424,112,44
1424,120,37
1424,128,30
1424,136,26
1424,144,27
1424,152,26
1424,160,27
1424,168,27
1424,176,20
1424,184,25
1424,192,20
1440,80,56
1440,88,61
1440,96,52
1440,104,50
1440,112,45
1440,120,39
1440,128,33
1440,136,27
1440,144,36
1440,152,23
1440,160,32
1440,168,23
1440,176,20
1440,184,23
1440,192,21
1456,80,64
1456,88,69
1456,96,60
1456,104,57
1456,112,51
1456,120,39
1456,128,27
1456,136,29
1456,144,25
1456,152,23
1456,160,26
1456,168,23
1456,176,25
1456,184,22
1456,192,19
1472,80,69
1472,88,82
1472,96,69
1472,104,49
1472,112,38
1472,120,33
1472,128,37
1472,136,40
1472,144,32
1472,152,28
1472,160,26
1472,168,23
1472,176,31
1472,184,22
1472,192,18
1488,80,64
1488,88,69
1488,96,61
1488,104,57
1488,112,54
1488,120,40
1488,128,28
1488,136,33
1488,144,24
1488,152,23
1488,160,30
1488,168,32
1488,176,23
1488,184,23
1488,192,18
1504,80,80
1504,88,84
1504,96,87
1504,104,56
1504,112,52
1504,120,49
1504,128,54
1504,136,42
1504,144,34
1504,152,41
1504,160,40
1504,168,21
1504,176,25
1504,184,27
1504,192,20
1520,80,77
1520,88,83
1520,96,61
1520,104,65
1520,112,58
1520,120,45
1520,128,36
1520,136,37
1520,144,29
1520,152,37
1520,160,25
1520,168,23
1520,176,30
1520,184,33
1520,192,27
1536,80,83
1536,88,85
1536,96,61
1536,104,43
1536,112,57
1536,120,43
1536,128,38
1536,136,41
1536,144,37
1536,152,37
1536,160,31
1536,168,27
1536,176,19
1536,184,22
1536,192,20
1552,80,82
1552,88,99
1552,96,71
1552,104,46
1552,112,48
1552,120,42
1552,128,39
1552,136,43
1552,144,29
1552,152,29
1552,160,29
1552,168,27
1552,176,32
1552,184,25
1552,192,20
1568,80,63
1568,88,67
1568,96,45
1568,104,48
1568,112,49
1568,120,42
1568,128,43
1568,136,32
1568,144,35
1568,152,26
1568,160,20
1568,168,22
1568,176,21
1568,184,22
1568,192,17
1584,80,58
1584,88,80
1584,96,61
1584,104,55
1584,112,43
1584,120,50
1584,128,41
1584,136,40
1584,144,38
1584,152,28
1584,160,24
1584,168,27
1584,176,29
1584,184,24
1584,192,22
1600,80,61
1600,88,74
1600,96,70
1600,104,62
1600,112,54
1600,120,41
1600,128,30
1600,136,28
1600,144,38
1600,152,32
1600,160,26
1600,168,26
1600,176,24
1600,184,19
1600,192,26
1616,80,78
1616,88,84
1616,96,93
1616,104,79
1616,112,65
1616,120,46
1616,128,44
